merged_pdf,bookmark_title,pages,estimated_tokens,deduplicated_source_count,primary_source,all_sources,content_note
01_foundational_theory_schakel_pride_liu.pdf,Seismoelectric reflection and transmission at a fluid porous-medium interface,9,12962,1,uploaded_files\01_classical_theory_foundational_papers\01-Seismoelectric reflection and transmission at a fluid_porous-medium interface.pdf,uploaded_files\01_classical_theory_foundational_papers\01-Seismoelectric reflection and transmission at a fluid_porous-medium interface.pdf,与震电、反应输运或电动参数有关的补充文献，适合在写作时按具体问题检索引用。
01_foundational_theory_schakel_pride_liu.pdf,Schakel 2011 JAP laboratory theory,5,5782,1,uploaded_files\01_classical_theory_foundational_papers\02_Schakel_2011_JAP_laboratory_theory.pdf,uploaded_files\01_classical_theory_foundational_papers\02_Schakel_2011_JAP_laboratory_theory.pdf,Schakel/Smeulders 界面理论与边界条件来源，适合核对反射/透射转换系数和相位约定。
01_foundational_theory_schakel_pride_liu.pdf,Liu 2018 finite offset VSEP,7,6196,2,uploaded_files\01_classical_theory_foundational_papers\03_Liu_2018_finite_offset_VSEP.pdf,uploaded_files\01_classical_theory_foundational_papers\03_Liu_2018_finite_offset_VSEP.pdf | uploaded_files\literature_review\Liu_et_al_2018_finite_offset_VSEP.pdf,有限偏移距 VSEP 和 interface EM 波形建模参考，适合核对频率-波数积分、空间分布和偶极子解释。
01_foundational_theory_schakel_pride_liu.pdf,Schakel 2011 Geophysics interface forward model,8,7712,1,uploaded_files\01_classical_theory_foundational_papers\04_Schakel_2011_Geophysics_interface_forward_model.pdf,uploaded_files\01_classical_theory_foundational_papers\04_Schakel_2011_Geophysics_interface_forward_model.pdf,Schakel/Smeulders 界面理论与边界条件来源，适合核对反射/透射转换系数和相位约定。
01_foundational_theory_schakel_pride_liu.pdf,Electroseismic wave properties,15,17040,1,uploaded_files\01_classical_theory_foundational_papers\Electroseismic wave properties.pdf,uploaded_files\01_classical_theory_foundational_papers\Electroseismic wave properties.pdf,与震电、反应输运或电动参数有关的补充文献，适合在写作时按具体问题检索引用。
01_foundational_theory_schakel_pride_liu.pdf,Governing equations for the coupled electromagnetics and acoustics of porous media,19,17825,1,uploaded_files\01_classical_theory_foundational_papers\Governing equations for the coupled electromagnetics and acoustics of porous media.pdf,uploaded_files\01_classical_theory_foundational_papers\Governing equations for the coupled electromagnetics and acoustics of porous media.pdf,Pride 震电耦合控制方程基础，适合定义动态渗透率、电动耦合和电磁-声学耦合框架。
01_foundational_theory_schakel_pride_liu.pdf,Electroseismic Wave Theory of Frenkel and More Recent Developments,10,13539,1,uploaded_files\01_classical_theory_foundational_papers\pride2005.pdf,uploaded_files\01_classical_theory_foundational_papers\pride2005.pdf,Pride 震电耦合控制方程基础，适合定义动态渗透率、电动耦合和电磁-声学耦合框架。
02_recent_seismoelectric_experiments_models.pdf,The effect of layer thickness and fluid conductivity contrasts on seismoelectric signals : insights from laboratory experiments and numerical simulations,20,24567,2,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\01_Martins-Gomes_2026_layer_thickness_conductivity.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\01_Martins-Gomes_2026_layer_thickness_conductivity.pdf | uploaded_files\literature_review\Martins-Gomes_et_al_2026_layer_thickness_fluid_conductivity_seismoelectric.pdf,电导率、盐度、pH 或电解质影响参考，适合把 H+ 浓度/流体电导率映射到震电参数。
02_recent_seismoelectric_experiments_models.pdf,Conductivity dependence of seismoelectric wave phenomena in fluidsaturated sediments,12,14887,2,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\02_Block_Harris_2006_conductivity_dependence.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\02_Block_Harris_2006_conductivity_dependence.pdf | uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2006_Block_Harris_conductivity_dependence_seismoelectric_wave_phenomena.pdf,电导率、盐度、pH 或电解质影响参考，适合把 H+ 浓度/流体电导率映射到震电参数。
02_recent_seismoelectric_experiments_models.pdf,The effect of rock permeability and porosity on seismoelectric conversion: experiment and analytical modelling,34,20669,2,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\03_Peng_2019_permeability_porosity.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\03_Peng_2019_permeability_porosity.pdf | uploaded_files\literature_review\Peng_et_al_2019_permeability_porosity_seismoelectric_conversion.pdf,孔隙率/渗透率对震电转换的影响参考，适合支持水文参数敏感性分析。
02_recent_seismoelectric_experiments_models.pdf,Seismoelectric wave conversions at an interface: a quantitative comparison between laboratory data and full-waveform modelling,21,23373,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\04_Martins-Gomes_2023_interface_full_waveform.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\04_Martins-Gomes_2023_interface_full_waveform.pdf,与震电、反应输运或电动参数有关的补充文献，适合在写作时按具体问题检索引用。
02_recent_seismoelectric_experiments_models.pdf,Experimental quantification of the seismoelectric transfer function and its dependence on conductivity and saturation in loose sand,33,28200,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\07_Holzhauer_2017_conductivity_saturation_loose_sand.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\07_Holzhauer_2017_conductivity_saturation_loose_sand.pdf,电导率、盐度、pH 或电解质影响参考，适合把 H+ 浓度/流体电导率映射到震电参数。
02_recent_seismoelectric_experiments_models.pdf,Zhu Toksoz 1996 author technical report,30,8204,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\09a_Zhu_Toksoz_1996_author_technical_report.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\09a_Zhu_Toksoz_1996_author_technical_report.pdf,与震电、反应输运或电动参数有关的补充文献，适合在写作时按具体问题检索引用。
02_recent_seismoelectric_experiments_models.pdf,Zhu et al 1997 author technical report,22,6653,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\09b_Zhu_et_al_1997_author_technical_report.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\09b_Zhu_et_al_1997_author_technical_report.pdf,与震电、反应输运或电动参数有关的补充文献，适合在写作时按具体问题检索引用。
02_recent_seismoelectric_experiments_models.pdf,Water Table and Permeability Estimation From Multi‐Channel Seismoelectric Spectral Ratios,29,29981,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\10_Hu_2023_JGR_spectral_ratios.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\10_Hu_2023_JGR_spectral_ratios.pdf,与震电、反应输运或电动参数有关的补充文献，适合在写作时按具体问题检索引用。
