group_id,group_file,source_file,source_basename,detected_title,pages,estimated_tokens,is_supporting_information,content_note
01,01_chombo_crunch_molins_core_methods.pdf,literature_deng_reactive_transport/Chombo-Crunch/Water Resources Research - 2012 - Molins - An investigation of the effect of pore scale flow on average geochemical.pdf,Water Resources Research - 2012 - Molins - An investigation of the effect of pore scale flow on average geochemical.pdf,An investigation of the effect of pore scale flow on average geochemical reaction rates using direct numerical simulation,11,13320,False,Uses direct numerical simulation to show how pore-scale flow and transport limitations affect average geochemical reaction rates; important for separating intrinsic PHREEQC kinetics from transport-limited apparent rates.
01,01_chombo_crunch_molins_core_methods.pdf,literature_deng_reactive_transport/Chombo-Crunch/Trebotich et al. 2014 — High-resolution simulation of pore-scale reactive transport processes associated with carbon sequestration.pdf,Trebotich et al. 2014 — High-resolution simulation of pore-scale reactive transport processes associated with carbon sequestration.pdf,High-Resolution Simulation of Pore-Scale Reactive Transport Processes Associated with Carbon Sequestration,10,12000,False,Introduces Chombo-Crunch as a high-resolution image-based pore-scale reactive transport capability for CO2-related fluid-rock systems.
01,01_chombo_crunch_molins_core_methods.pdf,literature_deng_reactive_transport/Chombo-Crunch/Molins et al. 2014 — Pore-scale controls on calcite dissolution rates from flow-through laboratory and numerical experiments.pdf,Molins et al. 2014 — Pore-scale controls on calcite dissolution rates from flow-through laboratory and numerical experiments.pdf,es5013438 1..8,8,9860,False,"Combines flow-through calcite experiments, xCT geometry, and pore-scale simulation to diagnose calcite dissolution rate controls and model-experiment mismatch."
01,01_chombo_crunch_molins_core_methods.pdf,literature_deng_reactive_transport/Chombo-Crunch/Trebotich & Graves 2015 — An adaptive finite volume method for the incompressible Navier–Stokes equations in complex geometries.pdf,Trebotich & Graves 2015 — An adaptive finite volume method for the incompressible Navier–Stokes equations in complex geometries.pdf,An adaptive finite volume method for the incompressible Navier–Stokes equations in complex geometries,44,52800,False,Numerical-method foundation for embedded-boundary/adaptive finite-volume Navier-Stokes flow in complex pore/fracture geometries.
01,01_chombo_crunch_molins_core_methods.pdf,literature_deng_reactive_transport/Chombo-Crunch/Water Resources Research - 2017 - Molins - Mineralogical and transport controls on the evolution of porous media texture.pdf,Water Resources Research - 2017 - Molins - Mineralogical and transport controls on the evolution of porous media texture.pdf,Mineralogical and transport controls on the evolution of porous media texture using direct numerical simulation,17,20400,False,Explores how mineralogical heterogeneity and transport limitations drive texture evolution during dissolution/precipitation in direct numerical simulations.
01,01_chombo_crunch_molins_core_methods.pdf,literature_deng_reactive_transport/Chombo-Crunch/Simulation of mineral dissolution at the pore scale with evolving fluid-solid interfaces_ review of approaches and benchmark problem set.pdf,Simulation of mineral dissolution at the pore scale with evolving fluid-solid interfaces_ review of approaches and benchmark problem set.pdf,Simulation of mineral dissolution at the pore scale with evolving fluid-solid interfaces: review of approaches and benchmark problem set,34,40800,False,"Review and benchmark suite comparing pore-scale dissolution/interface-evolution codes, including Chombo-Crunch, useful for validation targets."
01,01_chombo_crunch_molins_core_methods.pdf,literature_deng_reactive_transport/Chombo-Crunch/Trebotich et al. 2024 — A multiphysics coupling framework for exascale simulation of fracture evolution in subsurface energy applications.pdf,Trebotich et al. 2024 — A multiphysics coupling framework for exascale simulation of fracture evolution in subsurface energy applications.pdf,A multiphysics coupling framework for exascale simulation of fracture evolution in subsurface energy applications,14,16800,False,"Modern coupling-framework paper for multiphysics fracture evolution, useful for thinking about modular coupling and exascale solver organization."
02,02_deng_fracture_dissolution_2013_2020.pdf,literature_deng_reactive_transport/pdfs/agent_early/2013_Modifications_Carbonate_Fracture_Hydrodynamic_Properties.pdf,2013_Modifications_Carbonate_Fracture_Hydrodynamic_Properties.pdf,2013_Modifications_Carbonate_Fracture_Hydrodynamic_Properties,42,50400,False,Deng et al. study of CO2-acidified brine altering carbonate fracture hydrodynamic properties from xCT-derived aperture and flow analysis.
02,02_deng_fracture_dissolution_2013_2020.pdf,literature_deng_reactive_transport/pdfs/agent_early/2015_Alterations_fractures_carbonate_CO2_brines.pdf,2015_Alterations_fractures_carbonate_CO2_brines.pdf,es5b01980 1..9,9,10800,False,High-pressure CO2-brine fracture alteration experiments showing geometry and hydrodynamic changes under different CO2 conditions; includes supporting information marker.
02,02_deng_fracture_dissolution_2013_2020.pdf,literature_deng_reactive_transport/pdfs/agent_early/2016_TILT_Fracture_Geometry_Xray_Tomography.pdf,2016_TILT_Fracture_Geometry_Xray_Tomography.pdf,2016_TILT_Fracture_Geometry_Xray_Tomography,14,16800,False,TILT segmentation method for x-ray tomography of fractures; directly relevant to converting images into apertures/geometries for simulations.
