status,top,rel,bytes,error_or_kept_as,path
invalid_pdf,NMR simulation,FEM\._Ghomeshi2018_FEM.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\FEM\._Ghomeshi2018_FEM.pdf
invalid_pdf,NMR simulation,FEM\._Hagslatt2002_restrictiveGeometries.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\FEM\._Hagslatt2002_restrictiveGeometries.pdf
invalid_pdf,NMR simulation,FEM\._Mitchel2019_FEModeling.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\FEM\._Mitchel2019_FEModeling.pdf
invalid_pdf,NMR simulation,FEM\._Mohnke2010.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\FEM\._Mohnke2010.pdf
invalid_pdf,NMR simulation,FEM\._Schwartz2013_t2t2.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\FEM\._Schwartz2013_t2t2.pdf
invalid_pdf,NMR simulation,LBM\._Guyer2000_LBM.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\LBM\._Guyer2000_LBM.pdf
invalid_pdf,NMR simulation,LBM\._Mohnke2014.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\LBM\._Mohnke2014.pdf
invalid_pdf,NMR simulation,Machine learning\._Asoodeh2015_NMRParametersDeterminationThro.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Machine learning\._Asoodeh2015_NMRParametersDeterminationThro.pdf
invalid_pdf,NMR simulation,Machine learning\._Farzi2017_Simulation_artificial_neural_netw.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Machine learning\._Farzi2017_Simulation_artificial_neural_netw.pdf
invalid_pdf,NMR simulation,Machine learning\._Golsanami2014_CommitteeMachine.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Machine learning\._Golsanami2014_CommitteeMachine.pdf
invalid_pdf,NMR simulation,Machine learning\._Golsanami2021_NMRseismic.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Machine learning\._Golsanami2021_NMRseismic.pdf
invalid_pdf,NMR simulation,Machine learning\._Li2019_NeuralNetworkModelingOfInSituF.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Machine learning\._Li2019_NeuralNetworkModelingOfInSituF.pdf
invalid_pdf,NMR simulation,Machine learning\._Mohaghegh2001_IntelligentSystemsReservoirCharacterization.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Machine learning\._Mohaghegh2001_IntelligentSystemsReservoirCharacterization.pdf
invalid_pdf,NMR simulation,Random Walk\._Alhwety2014_Rock-typing_DiffCoupl.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\._Alhwety2014_Rock-typing_DiffCoupl.pdf
