bundle,top,rel,name,title,note,pages,token_est,bytes,is_si,sha256,path
07_NMR_theory_review_core.pdf,NMR Theory and Review,2006 Yaramanci.pdf,2006 Yaramanci.pdf,2006 Yaramanci,NMR Theory and Review,21,11199,833782,False,9028e03e3ee4067ce1afbcff340f4943afb676c6cef3759e53d36e7eb09d23bd,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\2006 Yaramanci.pdf
07_NMR_theory_review_core.pdf,NMR Theory and Review,"Behroozmand, Keating, Auken - 2014 - A Review of the Principles and Applications of the NMR Technique for Near-Surface Characterization.pdf","Behroozmand, Keating, Auken - 2014 - A Review of the Principles and Applications of the NMR Technique for Near-Surface Characterization.pdf","Behroozmand, Keating, Auken 2014 A Review of the Principles and Applications of the NMR Technique for Near Surface Characterization",综述,59,45755,5059726,False,a47cc499f025da97d526d4c60635564976179457b1204e900c24d0cd5a191726,"C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Behroozmand, Keating, Auken - 2014 - A Review of the Principles and Applications of the NMR Technique for Near-Surface Characterization.pdf"
07_NMR_theory_review_core.pdf,NMR Theory and Review,BrownsteinTarr1979.pdf,BrownsteinTarr1979.pdf,Importance of classical diffusion in NMR studies of water in biological cells,扩散与弛豫机制,8,7201,538928,False,966d259166178a66b4950afeba19353e478f614c3f67866259234cd319afccb1,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\BrownsteinTarr1979.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Coates\1999 Coates.pdf,1999 Coates.pdf,NMR Logging Principles and Applications,NMR 测井/岩石物理教材资料,253,4175,8846542,False,bf2efc9dc932a0e0632b1c573b30f1335d2c96cb3e4f9ebcfa079bb110502dd1,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Coates\1999 Coates.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-1.pdf,2002 Dunn-1.pdf,PII: S0950-1401(02)80012-X,NMR 测井/岩石物理教材章节,3,1122,109137,False,b41e85192adfff576a73df21eff30186105f922684d6ff93ea2781331bc834eb,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-1.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-10.pdf,2002 Dunn-10.pdf,PII: S0950-1401(02)80006-4,NMR 测井/岩石物理教材章节,28,13045,1167347,False,dfba4151fbaf3a2ed2dfc8de84c43c663c40efeb48af5125731ca89ec9566697,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-10.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-11.pdf,2002 Dunn-11.pdf,PII: S0950-1401(02)80005-2,NMR 测井/岩石物理教材章节,30,15683,1476028,False,cbc81b86a9a9aef00bc4954fb426055913eb5f6c7ce3ae1a4ff7c9aa6622d2c0,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-11.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-12.pdf,2002 Dunn-12.pdf,PII: S0950-1401(02)80007-6,NMR 测井/岩石物理教材章节,57,27767,2763327,False,12d0a4fc1c61d7b36272dc89f224acaaf83ff55a0e9a6119ff1cdf4b0d82728b,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-12.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-13.pdf,2002 Dunn-13.pdf,PII: S0950-1401(02)80010-6,NMR 测井/岩石物理教材章节,49,25438,2425138,False,14d1f8d0699e66edcad6f74c7686b179d63c09369efd0b45671ea999aa04ba54,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-13.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-3.pdf,2002 Dunn-3.pdf,PII: S0950-1401(02)80013-1,NMR 测井/岩石物理教材章节,15,5760,649837,False,21f6eba442f7c4771a089411cae3da2763a8927a7c02dfaab8c7c7adbfff1c8b,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-3.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-4.pdf,2002 Dunn-4.pdf,PII: S0950-1401(02)80003-9,NMR 测井/岩石物理教材章节,2,404,56798,False,97244bb4b0fbf0f1ecbdac419de5a844835c40316d3021764a5ecce861279a4d,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-4.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-5.pdf,2002 Dunn-5.pdf,PII: S0950-1401(02)80014-3,NMR 测井/岩石物理教材章节,7,2824,306644,False,5f9c1826a3a116f26fb20f71ec1e1d728440aacd03bc0ce31c0d677d0b92c608,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-5.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-6.pdf,2002 Dunn-6.pdf,PII: S0950-1401(02)80004-0,NMR 测井/岩石物理教材章节,11,5679,812721,False,39457bffd07cd361d87a84e9e23f867cd408b6c5e76dfb87a9f7e6439ec491c5,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-6.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-7.pdf,2002 Dunn-7.pdf,PII: S0950-1401(02)80015-5,NMR 测井/岩石物理教材章节,11,4028,452415,False,4a47f8aa16543c32e34a1adf3f917b05e5ed55051cd223ce5d2267101ae3b8ef,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-7.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-8.pdf,2002 Dunn-8.pdf,PII: S0950-1401(02)80009-X,NMR 测井/岩石物理教材章节,32,15000,1450617,False,07e13760afe49abe48aba029bb2084dcc9bc04e573b0dd980bedc80ab860b00a,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-8.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn-9.pdf,2002 Dunn-9.pdf,PII: S0950-1401(02)80008-8,NMR 测井/岩石物理教材章节,36,17640,1809240,False,a75c25e1c2b63df6399c868c07fc75edfd8e6e79d6a50b2b484c8aee00ba9f1c,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-9.pdf
08_NMR_theory_review_books_Coates_Dunn.pdf,NMR Theory and Review,Dunn\2002 Dunn.pdf,2002 Dunn.pdf,PII: S0950-1401(02)80011-8,NMR 测井/岩石物理教材章节,9,4017,406889,False,e25df80bf1f0933938f003771fa403708d9b144ff27e9febcb7d5f1f408950a7,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn.pdf
07_NMR_theory_review_core.pdf,NMR Theory and Review,Environ. Sci. Technol 2013 Sanderlin.pdf,Environ. Sci. Technol 2013 Sanderlin.pdf,es3040686 1..6,NMR Theory and Review,6,9074,2501829,False,f6f26fa65eb5965f2fb8f246ea3c0db61ced45819894caf343cc879a9d6d8b45,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Environ. Sci. Technol 2013 Sanderlin.pdf
07_NMR_theory_review_core.pdf,NMR Theory and Review,Journal of Magnetic Resonance Series A 1991 Whittall.pdf,Journal of Magnetic Resonance Series A 1991 Whittall.pdf,PII: 0022-2364(91)90213-D,NMR Theory and Review,14,8581,836028,False,65d576095458d74729ee0cf5d22e8aa29f6567bb263d7a7481b125d79d97cf03,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Journal of Magnetic Resonance Series A 1991 Whittall.pdf
07_NMR_theory_review_core.pdf,NMR Theory and Review,keating2012.pdf,keating2012.pdf,2011-0462 365..377,NMR Theory and Review,13,18737,460048,False,72f55501fe418d9c46bf8fdae2e53f5382fdddb54238b2a731ae9dafa7549ac6,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\keating2012.pdf
07_NMR_theory_review_core.pdf,NMR Theory and Review,Mitchell (2012) - In Situe Oil Monitoring Using NMR.pdf,Mitchell (2012) - In Situe Oil Monitoring Using NMR.pdf,Mitchell (2012) In Situe Oil Monitoring Using NMR,NMR Theory and Review,24,19371,992805,True,392ea50098d42984779c49f477e0344a9061645589082ea8b2202ec2318e7868,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Mitchell (2012) - In Situe Oil Monitoring Using NMR.pdf
07_NMR_theory_review_core.pdf,NMR Theory and Review,Mohnke2015_triangular_pore_intro!.pdf,Mohnke2015_triangular_pore_intro!.pdf,Mohnke2015 triangular pore intro!,NMR Theory and Review,11,13097,2319124,False,e86fcbb01b02efe1e11825f205aed44f239dc6744d8c330c453b0c8c245d2236,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Mohnke2015_triangular_pore_intro!.pdf
07_NMR_theory_review_core.pdf,NMR Theory and Review,Muller-Petke2015_DiffusionRegimes.pdf,Muller-Petke2015_DiffusionRegimes.pdf,Nuclear magnetic resonance average pore-size estimations outside the fast-diffusion regime,扩散与弛豫机制,12,12953,3146998,True,c5fe45c3e7cbf2eb851b49c6344d8eba64297db74a7b0b8b1fbf022133d2aab4,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Muller-Petke2015_DiffusionRegimes.pdf
07_NMR_theory_review_core.pdf,NMR Theory and Review,nmr_diffusion.pdf,nmr_diffusion.pdf,Microsoft Word - diffusion.doc,扩散与弛豫机制,11,7211,201019,True,b6966b88be93377a4d70fc66ab08a1c9c3d9aa2068ac46cd72b3ac3c697f4ba6,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\nmr_diffusion.pdf
